date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:49	14212/14212	---MCZ	200	added ('OK')	application/javascript	etag:W/%2237a4-584cf7c88f380-gzip%22	https://preview.colorlib.com/theme/digilab/js/aos.js	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/js/aos.js	(from https://preview.colorlib.com/theme/digilab/)
15:45:49	1391/1391	---M-Z	200	added ('OK')	application/javascript	etag:%2256f-584cf7df72980-gzip%22	https://preview.colorlib.com/theme/digilab/js/jquery.animateNumber.min.js	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/js/jquery.animateNumber.min.js	(from https://preview.colorlib.com/theme/digilab/)
15:45:50	7447/7447	---M-Z	200	added ('OK')	application/javascript	etag:%221d17-584cf7fb1aac0-gzip%22	https://preview.colorlib.com/theme/digilab/js/scrollax.min.js	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/js/scrollax.min.js	(from https://preview.colorlib.com/theme/digilab/)
15:45:50	788/788	---MCZ	200	added ('OK')	application/javascript	etag:W/%2279a-584cf7d1247c0-gzip%22	https://preview.colorlib.com/theme/digilab/js/google-map.js	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/js/google-map.js	(from https://preview.colorlib.com/theme/digilab/)
15:45:51	4496/4496	---MCZ	200	added ('OK')	application/javascript	etag:W/%221995-584cf7edc0b40-gzip%22	https://preview.colorlib.com/theme/digilab/js/main.js	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/js/main.js	(from https://preview.colorlib.com/theme/digilab/)
15:45:51	28196/28196	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226e24-584cf8a8ac440%22	https://preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.eot	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.eot	(from https://preview.colorlib.com/theme/digilab/css/open-iconic-bootstrap.min.css)
15:45:52	28196/28196	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226e24-584cf8a8ac440%22	https://preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.eot?	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconicd41d.eot	(from https://preview.colorlib.com/theme/digilab/css/open-iconic-bootstrap.min.css)
15:45:53	14984/14984	---M--	200	added ('OK')	font/woff	etag:%223a88-584cf8af59400%22	https://preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.woff	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.woff	(from https://preview.colorlib.com/theme/digilab/css/open-iconic-bootstrap.min.css)
15:45:54	28028/28028	---MCZ	200	added ('OK')	font/ttf	etag:W/%226d7c-584cf8ac7cd40%22	https://preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.ttf	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.ttf	(from https://preview.colorlib.com/theme/digilab/css/open-iconic-bootstrap.min.css)
15:45:55	20996/20996	---MCZ	200	added ('OK')	font/ttf	etag:W/%225204-584cf8a8ac440%22	https://preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.otf	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.otf	(from https://preview.colorlib.com/theme/digilab/css/open-iconic-bootstrap.min.css)
